source;target;interaction;directed;
I565;195;7;YANLIŞ;
I565;196;7;YANLIŞ;
I565;197;7;YANLIŞ;
I565;198;7;YANLIŞ;
I565;199;8;YANLIŞ;
I565;200;8;YANLIŞ;
I565;201;8;YANLIŞ;
I565;202;8;YANLIŞ;
I565;203;8;YANLIŞ;
I565;204;8;YANLIŞ;
I565;205;8;YANLIŞ;
I565;206;8;YANLIŞ;
I565;207;8;YANLIŞ;
I565;208;8;YANLIŞ;
I565;209;8;YANLIŞ;
I565;210;8;YANLIŞ;
I565;211;11;YANLIŞ;
I565;212;11;YANLIŞ;
I564;213;7;YANLIŞ;
I564;214;7;YANLIŞ;
I564;215;7;YANLIŞ;
I564;216;7;YANLIŞ;
I564;217;7;YANLIŞ;
I564;218;7;YANLIŞ;
I564;219;7;YANLIŞ;
I564;220;11;YANLIŞ;
I563;I558;7;YANLIŞ;
I563;I558;9;YANLIŞ;
I563;I558;12;YANLIŞ;
I563;221;9;YANLIŞ;
I563;222;11;YANLIŞ;
I563;223;18;YANLIŞ;
I563;224;12;YANLIŞ;
I558;221;9;YANLIŞ;
I558;222;11;YANLIŞ;
I558;223;18;YANLIŞ;
I558;224;12;YANLIŞ;
I562;225;11;YANLIŞ;
I562;226;11;YANLIŞ;
I562;227;11;YANLIŞ;
I562;228;11;YANLIŞ;
I562;229;11;YANLIŞ;
I562;230;11;YANLIŞ;
I562;231;11;YANLIŞ;
I562;232;11;YANLIŞ;
I562;233;11;YANLIŞ;
I562;234;11;YANLIŞ;
I562;235;11;YANLIŞ;
I562;236;11;YANLIŞ;
I562;237;11;YANLIŞ;
I562;238;11;YANLIŞ;
I562;239;11;YANLIŞ;
I562;240;11;YANLIŞ;
I562;241;11;YANLIŞ;
I562;242;11;YANLIŞ;
I562;243;11;YANLIŞ;
I562;244;11;YANLIŞ;
I562;245;11;YANLIŞ;
I562;246;11;YANLIŞ;
I562;247;11;YANLIŞ;
I562;248;11;YANLIŞ;
I562;249;11;YANLIŞ;
I562;250;11;YANLIŞ;
I562;251;11;YANLIŞ;
I562;252;11;YANLIŞ;
I562;253;11;YANLIŞ;
I562;254;11;YANLIŞ;
I562;255;11;YANLIŞ;
I562;256;11;YANLIŞ;
I562;257;11;YANLIŞ;
I562;258;18;YANLIŞ;
I562;259;12;YANLIŞ;
I562;260;12;YANLIŞ;
I560;261;9;YANLIŞ;
I560;262;18;YANLIŞ;
I560;263;18;YANLIŞ;
I560;264;18;YANLIŞ;
I560;265;18;YANLIŞ;
I560;266;18;YANLIŞ;
I560;267;18;YANLIŞ;
I560;268;18;YANLIŞ;
I560;269;18;YANLIŞ;
I560;270;18;YANLIŞ;
I560;271;18;YANLIŞ;
I560;272;18;YANLIŞ;
I560;273;18;YANLIŞ;
I560;274;18;YANLIŞ;
I560;275;18;YANLIŞ;
I560;276;18;YANLIŞ;
I559;277;7;YANLIŞ;
I559;278;7;YANLIŞ;
I559;279;7;YANLIŞ;
I559;280;7;YANLIŞ;
I559;281;7;YANLIŞ;
I559;282;7;YANLIŞ;
I559;283;7;YANLIŞ;
I559;284;7;YANLIŞ;
I559;285;7;YANLIŞ;
I559;286;7;YANLIŞ;
I559;287;7;YANLIŞ;
I559;288;8;YANLIŞ;
I559;289;8;YANLIŞ;
I559;290;8;YANLIŞ;
I559;291;8;YANLIŞ;
I559;292;8;YANLIŞ;
I559;293;8;YANLIŞ;
I559;294;8;YANLIŞ;
I559;295;8;YANLIŞ;
I559;296;8;YANLIŞ;
I559;297;8;YANLIŞ;
I559;298;8;YANLIŞ;
I557;299;7;YANLIŞ;
I557;300;7;YANLIŞ;
I557;301;7;YANLIŞ;
I557;302;7;YANLIŞ;
I557;303;7;YANLIŞ;
I557;304;7;YANLIŞ;
I557;305;7;YANLIŞ;
I557;306;7;YANLIŞ;
I557;307;7;YANLIŞ;
I557;308;7;YANLIŞ;
I557;309;7;YANLIŞ;
I557;310;7;YANLIŞ;
I557;311;7;YANLIŞ;
I557;312;7;YANLIŞ;
I557;313;7;YANLIŞ;
I557;314;7;YANLIŞ;
I557;315;7;YANLIŞ;
I557;316;7;YANLIŞ;
I557;317;7;YANLIŞ;
I557;318;7;YANLIŞ;
I557;319;7;YANLIŞ;
I557;320;8;YANLIŞ;
I557;321;8;YANLIŞ;
I557;322;8;YANLIŞ;
I557;323;8;YANLIŞ;
I557;324;8;YANLIŞ;
I557;325;8;YANLIŞ;
I557;326;8;YANLIŞ;
I557;327;8;YANLIŞ;
I557;328;8;YANLIŞ;
I557;329;8;YANLIŞ;
I557;330;8;YANLIŞ;
I557;331;8;YANLIŞ;
I557;332;8;YANLIŞ;
I557;333;8;YANLIŞ;
I557;334;8;YANLIŞ;
I557;335;8;YANLIŞ;
I557;336;8;YANLIŞ;
I557;337;8;YANLIŞ;
I557;338;8;YANLIŞ;
I557;339;8;YANLIŞ;
I557;340;8;YANLIŞ;
I557;341;8;YANLIŞ;
I557;342;8;YANLIŞ;
I557;343;8;YANLIŞ;
I557;344;8;YANLIŞ;
I557;345;8;YANLIŞ;
I557;346;8;YANLIŞ;
I557;347;8;YANLIŞ;
I557;348;8;YANLIŞ;
I557;349;8;YANLIŞ;
I557;350;8;YANLIŞ;
I557;351;8;YANLIŞ;
I557;352;8;YANLIŞ;
I557;353;8;YANLIŞ;
I557;354;8;YANLIŞ;
I557;355;8;YANLIŞ;
I557;356;8;YANLIŞ;
I557;357;8;YANLIŞ;
I557;358;8;YANLIŞ;
I557;359;8;YANLIŞ;
I557;360;8;YANLIŞ;
I557;361;8;YANLIŞ;
I557;362;8;YANLIŞ;
I557;363;8;YANLIŞ;
I556;364;7;YANLIŞ;
I556;365;7;YANLIŞ;
I556;366;7;YANLIŞ;
I556;367;7;YANLIŞ;
I556;368;7;YANLIŞ;
I556;369;7;YANLIŞ;
I556;370;7;YANLIŞ;
I556;371;7;YANLIŞ;
I556;372;7;YANLIŞ;
I556;373;7;YANLIŞ;
I556;374;7;YANLIŞ;
I556;375;8;YANLIŞ;
I556;376;8;YANLIŞ;
I556;377;8;YANLIŞ;
I556;378;8;YANLIŞ;
